scenario_id,S,K,T,sigma,r,moneyness,num_paths,mc_runtime_ms,mc_price
109,155.235497,181.904828,0.581409,0.508023,0.014379,0.853389,20000,1.498997,15.188627
110,46.864875,60.937263,1.916518,0.134816,0.041284,0.769068,20000,1.498997,0.854822
111,139.660914,179.964388,0.919302,0.264271,0.001036,0.776048,20000,1.498997,3.342375
112,103.39907,99.675026,1.926387,0.16382,0.028915,1.037362,20000,1.498997,14.245416
113,46.733446,57.478481,1.791583,0.596603,0.008049,0.81306,20000,1.498997,11.311985
114,231.143703,199.080732,0.734909,0.110437,0.003006,1.161055,20000,1.498997,33.125823
115,109.686721,142.819543,0.657706,0.281116,0.070631,0.768009,20000,1.498997,2.482023
116,152.269536,196.806904,0.429965,0.3137,0.022067,0.7737,20000,1.498997,2.047079
117,109.17669,96.082688,1.890031,0.48638,0.040915,1.136278,20000,1.498997,37.814522
118,154.179753,163.88764,1.919967,0.436762,0.004689,0.940765,20000,1.498997,33.553062
119,88.444625,76.845673,0.105409,0.395033,0.070548,1.150938,20000,1.498997,12.70372
120,143.304837,139.048955,0.426026,0.247136,0.017659,1.030607,20000,1.498997,11.815272
121,128.923953,109.464499,1.207543,0.575352,0.071666,1.17777,20000,1.498997,43.906152
122,189.281302,176.596265,1.106435,0.559676,0.055141,1.071831,20000,1.498997,53.582053
123,196.704642,158.933035,1.877358,0.553495,0.007588,1.237657,20000,1.498997,74.223353
124,60.729021,69.894228,0.275922,0.350658,0.065387,0.86887,20000,1.498997,1.773196
125,164.573143,182.938036,0.71487,0.418556,0.071863,0.899611,20000,1.498997,19.10794
126,178.240505,176.023754,0.754015,0.425588,0.019287,1.012593,20000,1.498997,28.800312
127,90.499016,70.876214,0.165401,0.219078,0.042347,1.27686,20000,1.498997,20.114061
128,91.355435,128.743936,1.181661,0.182192,0.068172,0.70959,20000,1.498997,0.833021
129,83.854286,80.954366,0.489907,0.300687,0.048682,1.035822,20000,1.498997,9.523452
130,125.47502,99.432443,0.9374,0.521135,0.021351,1.261912,20000,1.498997,39.391912
131,124.467482,99.95123,1.42414,0.584735,0.050825,1.245282,20000,1.498997,48.047946
132,101.676326,109.096458,1.079301,0.299686,0.035817,0.931986,20000,1.498997,11.104139
133,112.65074,122.064751,0.215437,0.310296,0.052381,0.922877,20000,1.498997,3.47253
134,66.218909,88.187871,1.763305,0.591897,0.049951,0.750885,20000,1.498997,16.077294
135,193.763226,159.443788,1.318836,0.42583,0.030993,1.215245,20000,1.498997,57.467634
136,111.005931,102.9968,0.405819,0.426626,0.003601,1.077761,20000,1.498997,16.115085
137,106.876285,84.304352,1.352855,0.346462,0.028716,1.267743,20000,1.498997,31.170949
138,150.745431,177.657308,1.531256,0.341416,0.051841,0.848518,20000,1.498997,20.162036
139,146.017854,174.077311,0.384433,0.250911,0.023661,0.83881,20000,1.498997,1.849357
140,224.895003,195.334008,0.896205,0.488546,0.025655,1.151336,20000,1.498997,57.551549
141,73.742199,58.837316,0.559938,0.129792,0.045341,1.253324,20000,1.498997,16.334827
142,155.893256,180.36367,1.58373,0.532134,0.056604,0.864327,20000,1.498997,37.595668
143,69.229013,63.505116,0.734104,0.179186,0.016444,1.090133,20000,1.498997,8.03169
144,113.291163,107.111199,0.741052,0.362118,0.059786,1.057697,20000,1.498997,19.200839
145,118.237366,140.871079,0.388291,0.12615,0.056394,0.83933,20000,1.498997,0.101567
146,137.201067,141.579578,0.909923,0.510827,0.068718,0.969074,20000,1.498997,28.274809
147,79.302334,68.906949,0.195193,0.223705,0.032749,1.150861,20000,1.498997,11.022663
148,95.295683,73.831306,0.670362,0.335234,0.067516,1.290722,20000,1.498997,26.374785
149,178.4694,187.579854,0.257753,0.115281,0.038808,0.951432,20000,1.498997,1.560236
150,165.571648,153.616852,1.809453,0.503295,0.056548,1.077822,20000,1.498997,55.391847
151,183.618242,188.299919,0.673561,0.492558,0.051816,0.975137,20000,1.498997,30.22014
152,47.269798,50.64721,0.56768,0.367436,0.004632,0.933315,20000,1.498997,3.951775
153,61.919469,85.726004,1.172659,0.341358,0.026399,0.722295,20000,1.498997,3.11284
154,106.111611,87.404313,0.61038,0.574333,0.029903,1.214032,20000,1.498997,29.143328
155,98.062056,86.882427,0.413711,0.538606,0.050306,1.128675,20000,1.498997,19.951183
